Time,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19
2007-09-26,,0.021849395,,,,,,,,,,,
2007-09-27,,-0.021008403,,,,,,,,,,,
2007-09-28,,0.001530222,,,,,,,,,,,
2007-10-01,,-0.013212533,,,,,,,,,,,
2007-10-02,,-0.011567164,,,,,,,,,,,
2007-10-03,,-0.025100036,,,,,,,,,,,
2007-10-04,,0.002552881,,,,,,,,,,,
2007-10-05,,0.00036483,,,,,,,,,,,
2007-10-08,,-0.000729129,,,,,,,,,,,
2007-10-09,,-0.023843416,,,,,,,,,,,
2007-10-10,,0.036135693,,,,,,,,,,,
2007-10-11,,-0.049088359,,,,,,,,,,,
2007-10-12,,-0.049650117,,,,,,,,,,,
2007-10-15,,-0.015419948,,,,,,,,,,,
2007-10-16,,-0.018041237,,,,,,,,,,,
2007-10-17,,0.026794575,,,,,,,,,,,
2007-10-18,,0.027881673,,,,,,,,,,,
2007-10-19,,-0.006418919,,,,,,,,,,,
2007-10-22,,0.013351592,,,,,,,,,,,
2007-10-23,,0.012829404,,,,,,,,,,,
2007-10-24,,-0.008253095,,,,,,,,,,,
2007-10-25,,0.028288543,,,,,,,,,,,
2007-10-26,,0.01,,,,,,,,,,,
2007-10-29,,-0.006034789,,,,,,,,,,,
2007-10-30,,-0.01018974,,,,,,,,,,,
2007-10-31,,-0.011805556,,,,,,,,,,,
2007-11-01,,0.017667845,,,,,,,,,,,
2007-11-02,,0.025733962,,,,,,,,,,,
2007-11-05,,-0.002169982,,,,,,,,,,,
2007-11-06,,-0.016014235,,,,,,,,,,,
2007-11-07,,0.024425811,,,,,,,,,,,
2007-11-08,,0.010313076,,,,,,,,,,,
2007-11-09,,0.00036846,,,,,,,,,,,
2007-11-12,,0.007423905,,,,,,,,,,,
2007-11-13,,-0.00074184,,,,,,,,,,,
2007-11-14,,0.010873641,,,,,,,,,,,
2007-11-15,,0.009844756,,,,,,,,,,,
2007-11-16,,-0.014552239,,,,,,,,,,,
2007-11-19,,0.006383778,0.006386176,0.006386176,,,,,,,,,
2007-11-20,,-0.01661743,-0.016623569,-0.007086908,,,,,,,,,
2007-11-21,,-0.006238532,-0.006605505,-0.006669137,,,,,,,,,
2007-11-26,,-0.020488857,-0.001465738,-0.000740466,,,,,,,,,
2007-11-27,,-0.004651163,-0.004741065,-0.004789978,,,,,,,,,
2007-11-28,,0.003951149,-0.007600434,-0.007678245,,,,,,,,,
2007-11-29,,0.010893246,0.010976948,0.011090573,,,,,,,,,
2007-11-30,,-0.007925072,-0.005096469,-0.005148952,,,,,,,,,
2007-12-03,,-0.009279086,-0.008303249,-0.008388038,,,,,,,,,
2007-12-04,,-0.009893993,-0.014935989,-0.015086207,,,,,,,,,
2007-12-05,,-0.00317013,-0.008112875,-0.008193801,,,,,,,,,
